ticker,ticker,date,quarter,price,volume,returns_1m,returns_3m,returns_6m,returns_12m,volatility,ma_50,ma_200,rsi,volume_ratio,market_cap,pe_ratio,pb_ratio,ps_ratio,profit_margin,operating_margin,roe,debt_to_equity,revenue_growth,earnings_growth,ticker,innovation_intensity,profitability_quality,market_position,financial_health,growth_momentum,success_probability
ACLS,INTC,2025-04-02,2025Q2,21.979999542236328,58878800.0,0.030473493710980615,0.10898082142635805,-0.06308608695623895,-0.5011393771693403,0.6958469372402469,22.313725452797087,23.523798567738698,37.988824434508714,0.607837392318149,170974396416,35.4656,1.6071187,3.221677,-0.38636002,-0.03803,-0.18616,0.47997,0.002,0.778,INTC,-0.15248480185392566,-0.19924026980754428,0.0,-0.0074601810073982285,-0.0536307857737669,0.6685572422953537
ADI,LRCX,2023-06-29,2023Q2,62.559139251708984,14023000.0,0.019311123694045737,0.24503200094928976,0.5894435073335657,0.48168513905178134,0.3658365020034507,55.98508169136795,46.89904141781935,60.155906955181216,1.0368608589717407,180062797824,32.232506,18.369999,9.76713,0.29065,0.33668,0.58238,0.48233,0.336,0.722,LRCX,0.15788469550882955,0.30196175154027927,0.0,-0.0067919605763738684,0.12459225562628345,0.9964427466759725
ALGM,LITE,2024-04-01,2024Q2,48.150001525878906,943700.0,-0.0066020154067488734,-0.095944366441865,0.07119022711069233,-0.0782924965768862,0.6296796287018603,50.689019820269415,48.91348268499422,55.169632091730094,0.6620310208553952,11980859392,439.48718,10.543798,7.2831974,0.01574,-0.00104,0.02476,2.29858,0.559,0.147,LITE,0.3651074437480344,-0.09126230747834946,0.0,0.5074687842744773,0.05275801837614075,0.39685346644727
AMAT,TXN,2024-12-30,2024Q4,183.67434692382812,4065200.0,-0.05637829274086013,-0.08409990708819454,-0.021432778429264467,0.12575818790565438,0.2815427480796367,194.6086793787339,187.78706716660835,38.791392924181835,0.7764803472319495,166581207040,33.52974,9.996675,9.989878,0.30231002,0.35027,0.29990998,0.85612,0.164,0.156,TXN,-0.0019463031330683314,0.1857069203587303,0.0,0.09904452879337129,-0.06357327221252687,0.03794836587792274
AMBA,LRCX,2024-07-01,2024Q3,104.63298034667969,6145000.0,0.11771658240739413,0.08232227071492619,0.3485383189906337,0.6725450765184774,0.3385776996357399,94.58268438601026,81.28714811030905,64.16059201167513,0.6084473970833,180062797824,32.232506,18.369999,9.76713,0.29065,0.33668,0.58238,0.48233,0.336,0.722,LRCX,0.15788469550882955,0.30196175154027927,0.0,-0.0067919605763738684,0.06095366936625867,0.944517254794631
AMD,ASML,2022-12-27,2022Q4,523.71826171875,802600.0,-0.0923559501427271,0.2435036729703885,0.1013065035495078,-0.3298207880209703,0.5914815232209892,525.0053633147595,520.9865742393987,34.50552564269063,0.7737750375304719,389416943616,34.358562,22.060556,12.107493,0.29273,0.34636003,0.58245,0.20995,0.232,0.471,ASML,0.061242696330007576,0.3063396046327338,0.0,-0.08391479150960159,0.03491828049781784,0.911472776993245
AOSL,AMBA,2024-09-30,2024Q3,56.40999984741211,427300.0,-0.048414287972068794,0.05222904691629298,0.12617288232325344,0.08397384425450452,0.6169378187861995,51.54588258032705,53.111243784131105,73.3277601307204,0.8266208522947105,3631980800,16.054968,6.1930413,10.435197,-0.25464,-0.23021999,-0.15769,0.00597,0.499,0.294,AMBA,0.3093524442217909,-0.2732249119019203,0.0,-0.14167055571313997,0.07530970694173461,0.8926423407206129
ARM,PI,2023-06-29,2023Q2,86.80999755859375,556400.0,-0.1421936741461373,-0.34929918914881786,-0.1924651389898256,0.549625077637124,0.928314748061919,101.44215677298752,111.22858208803395,27.590841234127467,0.822017264304257,5241962496,Infinity,27.571295,14.60409,0.00176,0.11108,0.00416,1.5578999999999998,-0.045,0.147,PI,-0.19615955148281633,-0.049829923719854306,0.0,0.29774950086298185,-0.18697132772977743,0.0009369953413787212
ASML,ADI,2025-04-02,2025Q2,197.90269470214844,2437500.0,-0.11756126263146514,-0.05693276070529114,-0.12539795325705155,0.03195394962297153,0.3702291866896472,213.17679640826057,217.70570760698462,44.86460104895236,0.7187357832482434,121788489728,62.475197,3.4535115,11.72532,0.18847999,0.28551,0.05652,0.25541,0.246,0.316,ADI,0.07425219621946437,0.05119166980863918,0.0,-0.07104305388486946,-0.05177616375723865,0.06632901055162006
AVGO,MXL,2022-12-27,2022Q4,33.20000076293945,260100.0,-0.07158830197853294,-0.0033023298053588305,-0.04652495537286201,-0.5692227728765767,0.6003152110573461,33.86176460864497,39.24154213293275,44.436411405286336,0.54693195017423,1424636928,62.475197,2.9115503,3.768731,-0.55533004,-0.17493,-0.37974998,0.30239,0.183,0.316,MXL,0.01570944671690875,-0.34458328288065215,0.0,-0.0577409369994776,-0.031632518296380446,0.002454182261270215
